quarter_date,quarter,year,quarter_num,state_code,state_name,latitude,longitude,wage_index,inflation_rate,wage_growth,real_wage_growth,food,housing,transport
2015-03-01,2015 Q1,2015,1,QLD,Queensland,-27.4698,153.0251,120.8,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,SA,South Australia,-34.9285,138.6007,120.9,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,WA,Western Australia,-31.9505,115.8605,122.7,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,TAS,Tasmania,-42.8821,147.3272,120.3,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,NT,Northern Territory,-12.4634,130.8456,121.7,0.2,0.4,0.2,0.2,0.8,-3.3
2015-03-01,2015 Q1,2015,1,ACT,Australian Capital Territory,-35.2809,149.13,119.8,0.2,0.4,0.2,0.2,0.8,-3.3
2015-06-01,2015 Q2,2015,2,NSW,New South Wales,-33.8688,151.2093,120.5,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,VIC,Victoria,-37.8136,144.9631,121.3,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,QLD,Queensland,-27.4698,153.0251,121.1,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,SA,South Australia,-34.9285,138.6007,121.1,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,WA,Western Australia,-31.9505,115.8605,123.1,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,TAS,Tasmania,-42.8821,147.3272,120.9,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,NT,Northern Territory,-12.4634,130.8456,122.2,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-06-01,2015 Q2,2015,2,ACT,Australian Capital Territory,-35.2809,149.13,120.3,0.7,0.4,-0.3,-0.2,0.7,3.3
2015-09-01,2015 Q3,2015,3,NSW,New South Wales,-33.8688,151.2093,121.7,0.4,0.8,0.4,0.1,0.7,0.1
2015-09-01,2015 Q3,2015,3,VIC,Victoria,-37.8136,144.9631,122.3,0.4,0.8,0.4,0.1,0.7,0.1
2015-09-01,2015 Q3,2015,3,QLD,Queensland,-27.4698,153.0251,122.0,0.4,0.8,0.4,0.1,0.7,0.1
2015-09-01,2015 Q3,2015,3,SA,South Australia,-34.9285,138.6007,122.2,0.4,0.8,0.4,0.1,0.7,0.1
2015-09-01,2015 Q3,2015,3,WA,Western Australia,-31.9505,115.8605,123.9,0.4,0.8,0.4,0.1,0.7,0.1
2015-09-01,2015 Q3,2015,3,TAS,Tasmania,-42.8821,147.3272,122.1,0.4,0.8,0.4,0.1,0.7,0.1
